2026-05-30 08:15:46 | INFO     | SYSTEM               | ================================================================================
2026-05-30 08:17:07 | DEBUG    | urllib3.connectionpool | https://kite.zerodha.com:443 "GET /oms/instruments/historical/2402049/day?from=2026-05-28&to=2026-05-29&continuous=0&oi=1 HTTP/11" 200 None
2026-05-30 08:17:07 | INFO     | backend.data.historical | ✅ EMBASSY-RR: added 1 new candles (CSV now has 296 bars)
2026-05-30 08:17:07 | DEBUG    | backend.data.historical | Loaded 296 daily candles for EMBASSY-RR
2026-05-30 08:17:07 | INFO     | backend.data.historical | 📥 BANKBEES: CSV data stale (last=2026-05-27). Fetching 2026-05-28 → 2026-05-29...
2026-05-30 08:17:07 | DEBUG    | urllib3.connectionpool | https://kite.zerodha.com:443 "GET /oms/instruments/historical/2928385/day?from=2026-05-28&to=2026-05-29&continuous=0&oi=1 HTTP/11" 200 None
2026-05-30 08:17:07 | INFO     | backend.data.historical | ✅ BANKBEES: added 1 new candles (CSV now has 275 bars)
2026-05-30 08:17:07 | DEBUG    | backend.data.historical | Loaded 275 daily candles for BANKBEES
2026-05-30 08:17:07 | INFO     | backend.data.historical | 📥 HNGSNGBEES: CSV data stale (last=2026-05-27). Fetching 2026-05-28 → 2026-05-29...
2026-05-30 08:17:07 | DEBUG    | urllib3.connectionpool | https://kite.zerodha.com:443 "GET /oms/instruments/historical/4680705/day?from=2026-05-28&to=2026-05-29&continuous=0&oi=1 HTTP/11" 200 None
2026-05-30 08:17:07 | INFO     | backend.data.historical | ✅ HNGSNGBEES: added 1 new candles (CSV now has 274 bars)
2026-05-30 08:17:07 | DEBUG    | backend.data.historical | Loaded 274 daily candles for HNGSNGBEES
2026-05-30 08:17:07 | INFO     | backend.data.historical | 📥 MID150BEES: CSV data stale (last=2026-05-27). Fetching 2026-05-28 → 2026-05-29...
2026-05-30 08:17:07 | DEBUG    | urllib3.connectionpool | https://kite.zerodha.com:443 "GET /oms/instruments/historical/2177537/day?from=2026-05-28&to=2026-05-29&continuous=0&oi=1 HTTP/11" 200 None
2026-05-30 08:17:07 | INFO     | backend.data.historical | ✅ MID150BEES: added 1 new candles (CSV now has 335 bars)
2026-05-30 08:17:07 | DEBUG    | backend.data.historical | Loaded 335 daily candles for MID150BEES
2026-05-30 08:17:07 | INFO     | backend.data.historical | ✓ Historical data loaded for 9 symbols (active + BnH)
2026-05-30 08:17:07 | INFO     | backend.data.realtime | Initializing WebSocket connection...
2026-05-30 08:17:07 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): api.kite.trade:443
2026-05-30 08:17:08 | DEBUG    | urllib3.connectionpool | https://api.kite.trade:443 "GET /instruments HTTP/11" 200 1656689
2026-05-30 08:17:09 | INFO     | backend.data.realtime | ✓ Instruments CSV from https://api.kite.trade/instruments (120943 rows)
2026-05-30 08:17:09 | INFO     | backend.data.realtime | Looking up tokens for: MON100, GOLDBEES, SILVERBEES, JUNIORBEES, MINDSPACE-RR, EMBASSY-RR, BANKBEES, HNGSNGBEES, MID150BEES, LIQUIDCASE
2026-05-30 08:17:09 | INFO     | backend.data.realtime | ✓ MON100: token 5821185 (segment=NSE)
2026-05-30 08:17:09 | INFO     | backend.data.realtime | ✓ GOLDBEES: token 3693569 (segment=NSE)
2026-05-30 08:17:09 | INFO     | backend.data.realtime | ✓ SILVERBEES: token 2068481 (segment=NSE)
2026-05-30 08:17:09 | INFO     | backend.data.realtime | ✓ JUNIORBEES: token 2800385 (segment=NSE)
2026-05-30 08:17:09 | INFO     | backend.data.realtime | ✓ MINDSPACE-RR: token 5710849 (segment=NSE)
2026-05-30 08:17:09 | INFO     | backend.data.realtime | ✓ EMBASSY-RR: token 2402049 (segment=NSE)
2026-05-30 08:17:09 | INFO     | backend.data.realtime | ✓ BANKBEES: token 2928385 (segment=NSE)
2026-05-30 08:17:09 | INFO     | backend.data.realtime | ✓ HNGSNGBEES: token 4680705 (segment=NSE)
2026-05-30 08:17:09 | INFO     | backend.data.realtime | ✓ MID150BEES: token 2177537 (segment=NSE)
2026-05-30 08:17:09 | INFO     | backend.data.realtime | ✓ LIQUIDCASE: token 5568001 (segment=NSE)
2026-05-30 08:17:09 | INFO     | backend.data.realtime | ✓ Index NIFTY 50: token 256265
2026-05-30 08:17:10 | INFO     | backend.data.realtime | ✓ Index GIFT NIFTY: token 291849
2026-05-30 08:17:10 | INFO     | backend.data.realtime | ✓ Index NIFTY MIDCAP 150: token 266249
2026-05-30 08:17:10 | INFO     | backend.data.realtime | ✓ Index INDIA VIX: token 264969
2026-05-30 08:17:10 | INFO     | backend.data.realtime | ✓ Token cache saved: 14 tokens → instrument_tokens.json
2026-05-30 08:17:10 | INFO     | backend.data.realtime | ✓ 14 instrument tokens ready
2026-05-30 08:17:10 | INFO     | backend.data.realtime | ✓ WebSocket initialized
2026-05-30 08:17:10 | INFO     | backend.data.realtime | Starting WebSocket connection...
2026-05-30 08:17:10 | INFO     | backend.data.realtime | ✓ WebSocket connected successfully
2026-05-30 08:17:10 | INFO     | backend.data.realtime | Subscribing to 14 instruments...
2026-05-30 08:17:10 | INFO     | backend.data.realtime | ✅ Subscribe called successfully
2026-05-30 08:17:10 | INFO     | backend.data.realtime | ✅ Set mode to FULL successfully
2026-05-30 08:17:10 | INFO     | backend.data.realtime | ✅ Subscribed to 14 instruments - waiting for ticks...
2026-05-30 08:17:10 | INFO     | backend.data.realtime | ✓ WebSocket connected and subscribed
2026-05-30 08:17:12 | INFO     | backend.portfolio.tracker | Syncing portfolio with Zerodha...
2026-05-30 08:17:12 | DEBUG    | urllib3.connectionpool | https://kite.zerodha.com:443 "GET /oms/portfolio/holdings HTTP/11" 200 None
2026-05-30 08:17:12 | DEBUG    | urllib3.connectionpool | https://kite.zerodha.com:443 "GET /oms/portfolio/positions HTTP/11" 200 None
2026-05-30 08:17:12 | INFO     | backend.portfolio.tracker | LIQUIDCASE (Holdings): 36771 free + 45000 pledged + 0 T1 = 81771 units @ ₹114.30
2026-05-30 08:17:12 | INFO     | backend.portfolio.tracker | LIQUIDCASE Total: 81771 units = ₹9346425.30
2026-05-30 08:17:12 | DEBUG    | backend.portfolio.tracker | Slot locked: MINDSPACE-RR (Holdings)
2026-05-30 08:17:12 | DEBUG    | backend.portfolio.tracker | Slot locked: SILVERBEES (Holdings)
2026-05-30 08:17:12 | INFO     | backend.portfolio.tracker | Active ETFs: MON100, GOLDBEES, SILVERBEES, JUNIORBEES, MINDSPACE-RR, EMBASSY-RR, BANKBEES, HNGSNGBEES
2026-05-30 08:17:12 | INFO     | backend.portfolio.tracker | Slots: 6 available, 2 locked (MINDSPACE-RR, SILVERBEES)
2026-05-30 08:17:12 | INFO     | backend.portfolio.tracker | ✓ Portfolio synced successfully
2026-05-30 08:17:12 | INFO     | backend.portfolio.tracker | ------------------------------------------------------------
2026-05-30 08:17:12 | INFO     | backend.portfolio.tracker | PORTFOLIO SUMMARY
2026-05-30 08:17:12 | INFO     | backend.portfolio.tracker | ------------------------------------------------------------
2026-05-30 08:17:12 | INFO     | backend.portfolio.tracker | LIQUIDCASE: 81771 units (₹9346425.30)
2026-05-30 08:17:12 | INFO     | backend.portfolio.tracker | Active ETFs: MON100, GOLDBEES, SILVERBEES, JUNIORBEES, MINDSPACE-RR, EMBASSY-RR, BANKBEES, HNGSNGBEES
2026-05-30 08:17:12 | INFO     | backend.portfolio.tracker | Held ETFs (2): MINDSPACE-RR, SILVERBEES
2026-05-30 08:17:12 | INFO     | backend.portfolio.tracker | Available slots: 6/8
2026-05-30 08:17:12 | INFO     | backend.portfolio.tracker | ------------------------------------------------------------
2026-05-30 08:17:12 | INFO     | backend.strategy.intraday_engine | Dip Accumulator engine initialised for ['MID150BEES']
2026-05-30 08:17:12 | INFO     | frontend.app         | Dashboard initialized with backend instances
2026-05-30 08:17:12 | INFO     | __main__             | 🤖 Trading loop thread started (60s startup grace period — monitoring only)
2026-05-30 08:17:12 | INFO     | __main__             | ✅ Trading loop thread started (waiting for bot activation)
2026-05-30 08:17:16 | INFO     | backend.utils.keep_alive | Hibernate watchdog started
2026-05-30 08:17:16 | INFO     | backend.utils.keep_alive | WebSocket watchdog started (stale threshold: 90s)
2026-05-30 08:17:16 | INFO     | backend.utils.keep_alive | Hibernate watchdog + WS watchdog threads started
2026-05-30 08:17:16 | INFO     | __main__             | ✅ Hibernate + WebSocket watchdogs started
2026-05-30 08:17:16 | INFO     | werkzeug             | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.150.244.233:5000
2026-05-30 08:17:16 | INFO     | werkzeug             | [33mPress CTRL+C to quit[0m
2026-05-30 08:17:16 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:16] "GET /ping HTTP/1.1" 200 -
2026-05-30 08:17:24 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:24] "GET / HTTP/1.1" 200 -
2026-05-30 08:17:24 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:24] "GET /static/css/style.css?v=1780109152 HTTP/1.1" 200 -
2026-05-30 08:17:24 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:24] "GET /static/js/tabs.js?v=1780109152 HTTP/1.1" 200 -
2026-05-30 08:17:24 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:24] "GET /static/js/dashboard.js?v=1780109152 HTTP/1.1" 200 -
2026-05-30 08:17:25 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:25] "GET /api/status HTTP/1.1" 200 -
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | ✓ Found MINDSPACE-RR in Holdings: 316 free + 0 pledged + 0 T1 = 316 units
2026-05-30 08:17:25 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:25] "GET /api/config HTTP/1.1" 200 -
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | 📊 MINDSPACE-RR: 316 units (Holdings only)
2026-05-30 08:17:25 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:25] "GET /api/indices HTTP/1.1" 200 -
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | ✓ MINDSPACE-RR avg from HOLDINGS: ₹458.27
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | ✓ Found HNGSNGBEES in Holdings: 0 free + 0 pledged + 38 T1 = 38 units
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | 📊 HNGSNGBEES: 38 units (Holdings only)
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | ✓ HNGSNGBEES avg from HOLDINGS: ₹518.30
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | ✓ Found MID150BEES in Holdings: 209 free + 0 pledged + 0 T1 = 209 units
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | 📊 MID150BEES: 209 units (Holdings only)
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | ✓ MID150BEES avg from HOLDINGS: ₹226.40
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | ✓ Found SILVERBEES in Holdings: 79 free + 0 pledged + 0 T1 = 79 units
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | 📊 SILVERBEES: 79 units (Holdings only)
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | ✓ SILVERBEES avg from HOLDINGS: ₹251.46
2026-05-30 08:17:25 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:25] "GET /api/portfolio HTTP/1.1" 200 -
2026-05-30 08:17:25 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:25] "GET /api/symbols/get HTTP/1.1" 200 -
2026-05-30 08:17:25 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:25] "GET /api/logs HTTP/1.1" 200 -
2026-05-30 08:17:25 | DEBUG    | urllib3.connectionpool | https://kite.zerodha.com:443 "GET /oms/orders HTTP/11" 200 30
2026-05-30 08:17:25 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:25] "GET /api/transactions HTTP/1.1" 200 -
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | ✓ MID150BEES avg from HOLDINGS: ₹226.40
2026-05-30 08:17:25 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:25] "GET /api/intraday/status HTTP/1.1" 200 -
2026-05-30 08:17:25 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:25] "GET /api/auth/status HTTP/1.1" 200 -
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | ✓ Found SILVERBEES in Holdings: 79 free + 0 pledged + 0 T1 = 79 units
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | 📊 SILVERBEES: 79 units (Holdings only)
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | ✓ SILVERBEES avg from HOLDINGS: ₹251.46
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | ✓ Found MINDSPACE-RR in Holdings: 316 free + 0 pledged + 0 T1 = 316 units
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | 📊 MINDSPACE-RR: 316 units (Holdings only)
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | ✓ MINDSPACE-RR avg from HOLDINGS: ₹458.27
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | ✓ Found HNGSNGBEES in Holdings: 0 free + 0 pledged + 38 T1 = 38 units
2026-05-30 08:17:25 | DEBUG    | urllib3.connectionpool | https://kite.zerodha.com:443 "GET /oms/user/margins HTTP/11" 200 None
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | 📊 HNGSNGBEES: 38 units (Holdings only)
2026-05-30 08:17:25 | DEBUG    | backend.portfolio.tracker | ✓ HNGSNGBEES avg from HOLDINGS: ₹518.30
2026-05-30 08:17:25 | INFO     | frontend.routes      | Funds — opening=₹17538.10  collateral=₹21204488.40  used_margin=₹20593241.93  available_cash=₹17538.10  → available_margin=₹628784.57 (collateral-used+cash)  all_keys=['adhoc_margin', 'cash', 'opening_balance', 'live_balance', 'collateral', 'intraday_payin']
2026-05-30 08:17:25 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:25] "GET /api/market HTTP/1.1" 200 -
2026-05-30 08:17:25 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:25] "GET /api/cash-balance HTTP/1.1" 200 -
2026-05-30 08:17:26 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:26] "GET /api/auth/status HTTP/1.1" 200 -
2026-05-30 08:17:27 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:27] "[33mGET /api/bot/status HTTP/1.1[0m" 404 -
2026-05-30 08:17:27 | INFO     | frontend.routes      | Bot started via dashboard
2026-05-30 08:17:27 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:27] "POST /api/bot/start HTTP/1.1" 200 -
2026-05-30 08:17:27 | DEBUG    | __main__             | ⏳ Startup grace period — monitoring signals, no execution yet
2026-05-30 08:17:28 | DEBUG    | backend.portfolio.tracker | ✓ MID150BEES avg from HOLDINGS: ₹226.40
2026-05-30 08:17:28 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:28] "GET /api/intraday/status HTTP/1.1" 200 -
2026-05-30 08:17:28 | INFO     | backend.strategy.intraday_engine | Dip Accumulator engine loop started
2026-05-30 08:17:28 | INFO     | backend.strategy.intraday_engine | [MID150BEES] Session reset for 2026-05-30
2026-05-30 08:17:28 | INFO     | backend.strategy.intraday_engine | Dip Accumulator engine STARTED — watching ['MID150BEES']
2026-05-30 08:17:28 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:28] "POST /api/intraday/start HTTP/1.1" 200 -
2026-05-30 08:17:28 | DEBUG    | backend.portfolio.tracker | ✓ MID150BEES avg from HOLDINGS: ₹226.40
2026-05-30 08:17:28 | DEBUG    | backend.portfolio.tracker | ✓ Found MID150BEES in Holdings: 209 free + 0 pledged + 0 T1 = 209 units
2026-05-30 08:17:28 | DEBUG    | backend.portfolio.tracker | 📊 MID150BEES: 209 units (Holdings only)
2026-05-30 08:17:28 | DEBUG    | backend.portfolio.tracker | ✓ MID150BEES avg from HOLDINGS: ₹226.40
2026-05-30 08:17:28 | DEBUG    | backend.portfolio.tracker | ✓ MID150BEES avg from HOLDINGS: ₹226.40
2026-05-30 08:17:28 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:28] "GET /api/intraday/status HTTP/1.1" 200 -
2026-05-30 08:17:28 | DEBUG    | urllib3.connectionpool | https://kite.zerodha.com:443 "GET /oms/user/margins HTTP/11" 200 None
2026-05-30 08:17:28 | INFO     | frontend.routes      | Funds — opening=₹17538.10  collateral=₹21204488.40  used_margin=₹20593241.93  available_cash=₹17538.10  → available_margin=₹628784.57 (collateral-used+cash)  all_keys=['adhoc_margin', 'cash', 'opening_balance', 'live_balance', 'collateral', 'intraday_payin']
2026-05-30 08:17:28 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:28] "GET /api/cash-balance HTTP/1.1" 200 -
2026-05-30 08:17:29 | DEBUG    | __main__             | ⏳ Startup grace period — monitoring signals, no execution yet
2026-05-30 08:17:30 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:30] "GET /api/auth/status HTTP/1.1" 200 -
2026-05-30 08:17:30 | INFO     | werkzeug             | 127.0.0.1 - - [30/May/2026 08:17:30] "GET /api/auth/status HTTP/1.1" 200 -
2026-05-30 08:17:31 | DEBUG    | __main__             | ⏳ Startup grace period — monitoring signals, no execution yet
2026-05-30 08:17:33 | DEBUG    | __main__             | ⏳ Startup grace period — monitoring signals, no execution yet
2026-05-30 08:17:33 | DEBUG    | backend.portfolio.tracker | ✓ MID150BEES avg from HOLDINGS: ₹226.40
